user,key,keyEvent,Time
urvi,32,Down,140630250
urvi,32,Up,140630375
urvi,83,Down,140630421
urvi,83,Up,140630515
urvi,72,Down,140630531
urvi,72,Up,140630640
urvi,69,Down,140630703
urvi,69,Up,140630781
urvi,84,Down,140630796
urvi,84,Up,140630859
urvi,72,Down,140631000
urvi,72,Up,140631062
urvi,32,Down,140631328
urvi,32,Up,140631437
urvi,73,Down,140631890
urvi,73,Up,140632015
urvi,83,Down,140632031
urvi,83,Up,140632140
urvi,32,Down,140632171
urvi,32,Up,140632265
urvi,72,Down,140632359
urvi,72,Up,140632437
urvi,69,Down,140632453
urvi,69,Up,140632578
urvi,82,Down,140632593
urvi,82,Up,140632687
urvi,69,Down,140632718
urvi,32,Down,140632843
urvi,69,Up,140632859
urvi,32,Up,140632937
urvi,84,Down,140633031
urvi,84,Up,140633093
urvi,79,Down,140633140
urvi,79,Up,140633218
urvi,32,Down,140633343
urvi,32,Up,140633421
urvi,72,Down,140633531
urvi,72,Up,140633625
urvi,69,Down,140633734
urvi,69,Up,140633828
urvi,75,Down,140634250
urvi,75,Up,140634359
urvi,79,Down,140634437
urvi,79,Up,140634531
urvi,32,Down,140634734
urvi,32,Up,140634812
urvi,89,Down,140635296
urvi,79,Down,140635390
urvi,89,Up,140635390
urvi,79,Up,140635500
urvi,85,Down,140635562
urvi,85,Up,140635656
urvi,32,Down,140636140
urvi,32,Up,140636265
urvi,13,Down,140636937
urvi,13,Up,140637015
urvi,49,Down,140639718
urvi,49,Up,140639828
urvi,57,Down,140639859
urvi,57,Up,140639953
urvi,52,Down,140640109
urvi,52,Up,140640187
urvi,55,Down,140640234
urvi,55,Up,140640265
urvi,51,Down,140640375
urvi,50,Down,140640390
urvi,56,Down,140640500
urvi,51,Up,140640515
urvi,50,Up,140640546
urvi,53,Down,140640546
urvi,53,Up,140640625
urvi,50,Down,140640640
urvi,56,Up,140640640
urvi,51,Down,140640671
urvi,48,Down,140640671
urvi,55,Down,140640703
urvi,48,Up,140640812
urvi,51,Up,140640812
urvi,55,Up,140640843
urvi,50,Up,140641000
urvi,56,Down,140641046
urvi,50,Down,140641093
urvi,52,Down,140641187
urvi,56,Up,140641187
urvi,51,Down,140641187
urvi,51,Up,140641265
urvi,51,Down,140641281
urvi,52,Up,140641281
urvi,51,Up,140641312
urvi,53,Down,140641312
urvi,56,Down,140641312
urvi,50,Up,140641312
urvi,51,Down,140641375
urvi,53,Up,140641390
urvi,52,Down,140641390
urvi,52,Up,140641562
urvi,53,Down,140641578
urvi,56,Up,140641593
urvi,55,Down,140641593
urvi,53,Up,140641625
urvi,48,Down,140641640
urvi,55,Up,140641656
urvi,52,Down,140641687
urvi,56,Down,140641703
urvi,48,Up,140641734
urvi,56,Up,140641781
urvi,52,Up,140641828
urvi,55,Down,140641828
urvi,48,Down,140641828
urvi,51,Up,140641828
urvi,53,Down,140641828
urvi,55,Up,140641875
urvi,56,Down,140641890
urvi,53,Up,140641906
urvi,51,Down,140641906
urvi,56,Up,140641937
urvi,52,Down,140641937
urvi,55,Down,140641953
urvi,48,Up,140642078
urvi,52,Up,140642078
urvi,51,Up,140642109
urvi,53,Down,140642109
urvi,56,Down,140642109
urvi,49,Down,140642125
urvi,53,Up,140642125
urvi,56,Up,140642140
urvi,51,Down,140642187
urvi,48,Down,140642218
urvi,52,Down,140642218
urvi,55,Up,140642234
urvi,52,Up,140642328
urvi,51,Up,140642343
urvi,53,Down,140642343
urvi,53,Up,140642390
urvi,51,Down,140642390
urvi,52,Down,140642406
urvi,56,Down,140642406
urvi,49,Up,140642437
urvi,48,Up,140642453
urvi,51,Up,140642484
urvi,56,Up,140642515
urvi,52,Up,140642546
urvi,48,Down,140642562
urvi,53,Down,140642578
urvi,56,Down,140642578
urvi,48,Up,140642609
urvi,56,Up,140642703
urvi,53,Up,140642750
urvi,27,Down,140643312
aditya,13,Up,140911468
aditya,67,Down,140913265
aditya,74,Down,140913328
aditya,79,Down,140913343
aditya,65,Down,140913359
aditya,83,Down,140913375
aditya,67,Up,140913390
aditya,80,Down,140913421
aditya,68,Down,140913437
aditya,74,Up,140913468
aditya,79,Up,140913484
aditya,74,Down,140913500
aditya,65,Up,140913531
aditya,68,Up,140913546
aditya,80,Up,140913546
aditya,83,Up,140913578
aditya,74,Up,140913609
aditya,66,Down,140913625
aditya,70,Down,140913625
aditya,86,Down,140913625
aditya,80,Down,140913625
aditya,86,Up,140913640
aditya,70,Up,140913640
aditya,73,Down,140913656
aditya,81,Down,140913671
aditya,66,Up,140913687
aditya,87,Down,140913687
aditya,72,Down,140913687
aditya,80,Up,140913703
aditya,81,Up,140913734
aditya,82,Down,140913734
aditya,72,Up,140913812
aditya,87,Up,140913828
aditya,73,Up,140913843
aditya,82,Up,140913859
aditya,80,Down,140913875
aditya,71,Down,140913875
aditya,73,Down,140913890
aditya,71,Up,140913906
aditya,73,Up,140913921
aditya,83,Down,140913984
aditya,68,Down,140914031
aditya,86,Down,140914046
aditya,74,Down,140914062
aditya,80,Up,140914093
aditya,83,Up,140914109
aditya,68,Up,140914125
aditya,86,Up,140914156
aditya,74,Up,140914171
aditya,78,Down,140914203
aditya,83,Down,140914218
aditya,68,Down,140914265
aditya,75,Down,140914281
aditya,86,Down,140914296
aditya,68,Up,140914359
aditya,83,Up,140914375
aditya,75,Up,140914390
aditya,0,Down,140914421
aditya,86,Up,140914453
aditya,76,Down,140914453
aditya,78,Up,140914468
aditya,0,Up,140914515
aditya,65,Down,140914546
aditya,0,Down,140914546
aditya,86,Down,140914562
aditya,77,Down,140914578
aditya,65,Up,140914640
aditya,77,Up,140914703
aditya,76,Up,140914718
aditya,78,Down,140914718
aditya,0,Up,140914734
aditya,86,Up,140914750
aditya,83,Down,140914781
aditya,78,Up,140914781
aditya,68,Down,140914796
aditya,86,Down,140914812
aditya,75,Down,140914812
aditya,75,Up,140914843
aditya,68,Up,140914875
aditya,66,Down,140914875
aditya,80,Down,140914890
aditya,83,Up,140914890
aditya,83,Down,140914906
aditya,86,Up,140914953
aditya,73,Down,140914968
aditya,66,Up,140914968
aditya,74,Down,140915000
aditya,80,Up,140915015
aditya,66,Down,140915046
aditya,74,Up,140915062
